track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,danceability,energy,speechiness,instrumentalness,tempo
4a3D8glGZxhlJfOs1Czc3c,About Damn Time,Lizzo,79,5263886,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",60,Special,0.835,0.747,0.0622,0.0,108.974
3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,83,2131416,['melodic drill'],89,Doja,0.911,0.573,0.288,0.0,140.04
39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,70,26122,['house'],85,B.O.T.A. (Baddest Of Them All),0.736,0.906,0.048,0.585,137.001
0wHFktze2PHC5jDt3B17DC,First Class,Jack Harlow,82,2743582,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']",84,Come Home The Kids Miss You,0.902,0.582,0.109,3.18e-06,107.005
29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,74,1578660,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",80,Hounds of Love (2018 Remaster),0.625,0.533,0.0596,0.00266,108.296
40SBS57su9xLiE1WqkXOVr,Afraid To Feel,LF SYSTEM,67,40281,[],82,Afraid To Feel,0.578,0.912,0.114,0.00362,127.87
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema,81,1584258,['nigerian pop'],93,Calm Down (with Selena Gomez),0.801,0.806,0.0381,0.000669,106.999
6RZo8T7GY9EoWZXC5i2587,go - goddard. Remix,Cat Burns,67,149467,['pop'],70,Go (Remixes),0.728,0.689,0.13,6.14e-05,89.973
4Gasn91fsCefnN8zM5GjA8,Finesse,Pheelz,63,102182,"['afropop', 'nigerian pop']",74,Finesse,0.859,0.551,0.149,0.0,102.049
0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,86,12461941,"['dance pop', 'hip pop', 'pop']",94,Takin' It Back,0.838,0.525,0.0665,1.92e-06,144.981
